EVENT_ID,event_time,Event_Label,mlb_opponent,DayOfWeek,Homestand_Number,Series_Number,Game_Number,RegularSeason_Game,Promotion,GroupNight,Premium,Outcome,PartialPlan,Season
3975,7/29/17 18:05,7/29/17,Minnesota Twins,Saturday,9,17,54,Yes,Fireworks,,Green,,On Deck,2017
3976,7/30/17 13:05,7/30/17,Minnesota Twins,Sunday,9,17,55,Yes,,,Green,,On Deck,2017
3977,7/31/17 19:05,7/31/17,San Francisco Giants,Monday,9,18,56,Yes,,,Gold,,Sac Fly,2017
3978,8/1/17 19:05,8/1/17,San Francisco Giants,Tuesday,9,18,57,Yes,,,Gold,,Sac Fly,2017
3979,8/8/17 19:05,8/8/17,Seattle Mariners,Tuesday,10,19,58,Yes,,,White,,Sac Fly,2017
3980,8/9/17 12:35,8/9/17,Seattle Mariners,Wednesday,10,19,59,Yes,,,White,,Hit and Run,2017
3981,8/10/17 19:05,8/10/17,Baltimore Orioles,Thursday,10,20,60,Yes,,,White,,Sac Fly,2017
3982,8/11/17 19:05,8/11/17,Baltimore Orioles,Friday,10,20,61,Yes,,,White,,On Deck,2017
3983,8/12/17 18:05,8/12/17,Baltimore Orioles,Saturday,10,20,62,Yes,Fireworks,,Green,,On Deck,2017
3984,8/13/17 13:05,8/13/17,Baltimore Orioles,Sunday,10,20,63,Yes,,,White,,On Deck,2017
3985,8/14/17 19:05,8/14/17,Kansas City Royals,Monday,10,21,64,Yes,,,White,,Sac Fly,2017
3986,8/15/17 19:05,8/15/17,Kansas City Royals,Tuesday,10,21,65,Yes,,,White,,Sac Fly,2017
3987,8/16/17 12:35,8/16/17,Kansas City Royals,Wednesday,10,21,66,Yes,,,White,,Hit and Run,2017
3988,8/25/17 19:05,8/25/17,Texas Rangers,Friday,11,22,67,Yes,,,White,,On Deck,2017
3989,8/26/17 13:05,8/26/17,Texas Rangers,Saturday,11,22,68,Yes,Bobblehead,,Green,,On Deck,2017
3990,8/27/17 13:05,8/27/17,Texas Rangers,Sunday,11,22,69,Yes,,,White,,On Deck,2017
3991,9/4/17 13:05,9/4/17,Los Angeles Angels,Monday,12,23,70,Yes,Other,,Green,,On Deck,2017
3992,9/5/17 19:05,9/5/17,Los Angeles Angels,Tuesday,12,23,71,Yes,,,White,,Sac Fly,2017
3993,9/6/17 12:35,9/6/17,Los Angeles Angels,Wednesday,12,23,72,Yes,,,White,,Hit and Run,2017
3995,9/8/17 19:05,9/8/17,Houston Astros,Friday,12,24,73,Yes,,,White,,On Deck,2017
3996,9/9/17 13:05,9/9/17,Houston Astros,Saturday,12,24,74,Yes,,,Green,,On Deck,2017
3997,9/10/17 13:05,9/10/17,Houston Astros,Sunday,12,24,75,Yes,Other,,White,,On Deck,2017
3998,9/22/17 19:05,9/22/17,Texas Rangers,Friday,13,25,76,Yes,,,Green,,On Deck,2017
3999,9/23/17 18:05,9/23/17,Texas Rangers,Saturday,13,25,77,Yes,Fireworks,,Green,,On Deck,2017
4000,9/24/17 13:05,9/24/17,Texas Rangers,Sunday,13,25,78,Yes,,,Green,,On Deck,2017
4001,9/25/17 19:05,9/25/17,Seattle Mariners,Monday,13,26,79,Yes,,,White,,Sac Fly,2017
4002,9/26/17 19:05,9/26/17,Seattle Mariners,Tuesday,13,26,80,Yes,,,White,,Sac Fly,2017
4003,9/27/17 12:35,9/27/17,Seattle Mariners,Wednesday,13,26,81,Yes,,,White,,Hit and Run,2017
